dataset,modelo,quality_rouge1,quality_rouge2,quality_rougel,quality_f1,quality_em,quality_cosseno,quality_bertscore,quality_moverscore,faithfulness_rouge1,faithfulness_rouge2,faithfulness_rougel,faithfulness_f1,faithfulness_em,faithfulness_cosseno,faithfulness_bert,faithfulness_moverscore
CSTNews,CSTNews,0.4022,0.2397,0.4022,0.4714,0.346,0.4512,0.629,0.4299,0.7226,0.4448,1,0.7491,0.7023,0.7169,0.8547,0.7594
CSTNews,TeMario,0.4829,0.2829,0.4829,0.5525,0.4058,0.5371,0.7957,0.5106,0.7621,0.4055,1,0.7827,0.7197,0.7621,0.8872,0.7812
CSTNews,Wiki,0.049,0.0365,0.049,0.0757,0.049,0.049,0.4574,0.0823,0.4427,0.2031,0,0.4618,0.3802,0.3802,0.7604,0.4583
CSTNews,Wiki 1024,0.0423,0.0208,0.0423,0.07,0.0423,0.0548,0.4528,0.0756,0.4375,0.1979,0,0.4876,0.375,0.4792,0.7083,0.4792
CSTNews,Wiki CSTNews,0.4403,0.2882,0.4403,0.4681,0.4064,0.4612,0.6515,0.4278,0.7292,0.5052,1,0.7223,0.7135,0.7292,0.8281,0.7292
CSTNews,Wiki CSTNews 1024,0.4695,0.2924,0.4695,0.5003,0.4043,0.4903,0.6676,0.4778,0.7875,0.4625,1,0.7813,0.7562,0.7875,0.875,0.7719
CSTNews,Wiki GPTextSum,0.397,0.2429,0.397,0.4336,0.372,0.397,0.6713,0.3935,0.8176,0.4368,1,0.8385,0.7878,0.8086,0.9265,0.8176
CSTNews,Wiki TeMario,0.422,0.2464,0.422,0.4489,0.3693,0.4429,0.6311,0.422,0.7497,0.4891,1,0.771,0.7043,0.757,0.879,0.7778
CSTNews,XLSum,0.1458,0.0958,0.1458,0.177,0.1458,0.1458,0.4842,0.2,0.4688,0.1562,0,0.4911,0.4062,0.4688,0.7188,0.5312
CSTNews,XLSum CSTNews,0.4058,0.2621,0.4058,0.4233,0.3464,0.4183,0.5866,0.4058,0.7865,0.3927,1,0.8146,0.7583,0.8021,0.8594,0.8073
CSTNews,XLSum CSTNews 1024,0.3704,0.2079,0.3704,0.378,0.2902,0.3829,0.597,0.3954,0.7708,0.3177,1,0.8086,0.7583,0.7708,0.875,0.7917
